380	9.7951
385	10.8996
390	12.0853
395	13.3543
400	14.7080
405	16.1480
410	17.6753
415	19.2907
420	20.9950
425	22.7883
430	24.6709
435	26.6425
440	28.7027
445	30.8508
450	33.0859
455	35.4068
460	37.8121
465	40.3002
470	42.8693
475	45.5174
480	48.2423
485	51.0418
490	53.9132
495	56.8539
500	59.8611
505	62.9320
510	66.0635
515	69.2525
520	72.4959
525	75.7903
530	79.1326
535	82.5193
540	85.9470
545	89.4124
550	92.9120
555	96.4423
560	100.0000
565	103.5820
570	107.1840
575	110.8030
580	114.4360
585	118.0800
590	121.7310
595	125.3860
600	129.0430
605	132.6970
610	136.3460
615	139.9880
620	143.6180
625	147.2350
630	150.8360
635	154.4180
640	157.9790
645	161.5160
650	165.0280
655	168.5100
660	171.9630
665	175.3830
670	178.7690
675	182.1180
680	185.4290
685	188.7010
690	191.9310
695	195.1180
700	198.2610
705	201.3590
710	204.4090
715	207.4110
720	210.3650
725	213.2680
730	216.1200
735	218.9200
740	221.6670
745	224.3610
750	227.0000
755	229.5850
760	232.1150
765	234.5890
770	237.0080
775	239.3700
780	241.6750
